id,Price,Address,City,Zipcode,State,Bedrooms,Bathrooms,Area,Lost Size,Year Built,Days on Market,Property Type,MLS ID,Listing Agent,Status,Listing URL,Price m2,House's Age,Area Category,Duration Sales
1,554217,5926 Oak Ave,San Diego,65383,CA,1,3,772,4757,1959,101,Townhouse,Z104635,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/80374762_zpid/,717.8976684,66,Low,slow
2,164454,9583 Oak Ave,Fresno,79339,IL,1,1,2348,3615,1969,46,Apartment,Z535721,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/86143665_zpid/,70.04003407,56,Top,fast
3,1249331,8224 Oak Ave,Sacramento,87393,TX,6,1,3630,9369,1990,59,Townhouse,Z900458,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/37082403_zpid/,344.1683196,35,Top,fast
4,189267,232 Oak Ave,Fresno,38666,TX,2,1,605,8804,1958,119,Apartment,Z318589,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/39318132_zpid/,312.8380165,67,Low,slow
5,465778,5446 Pine Rd,Los Angeles,23989,CA,3,2,1711,9260,2020,26,Townhouse,Z899716,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/22454634_zpid/,272.2255991,5,Median,fast
6,738357,9202 Maple Dr,Sacramento,71318,NY,5,3,1177,8317,2015,35,Multi-Family,Z865468,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/90690049_zpid/,627.3211555,10,Low,fast
7,1325395,2698 Elm St,Sacramento,57421,NY,6,1,1990,5592,2012,94,Townhouse,Z689873,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/99288749_zpid/,666.0276382,13,Median,slow
8,1158003,2118 Main St,San Diego,64361,IL,2,2,1008,6010,1975,75,Townhouse,Z329631,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/91922548_zpid/,1148.8125,50,Low,slow
9,240095,9474 Main St,San Francisco,13227,FL,6,2,929,5449,1975,79,Townhouse,Z839936,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/79694016_zpid/,258.444564,50,Low,slow
10,1356448,8803 Maple Dr,San Diego,57397,NY,2,3,2094,2179,1970,111,Multi-Family,Z264011,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/13312383_zpid/,647.7784145,55,Median,slow
11,678604,7535 Elm St,San Diego,70072,FL,3,3,2350,3341,2013,25,Multi-Family,Z298501,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/27502592_zpid/,288.7676596,12,Top,fast
12,1264926,413 Main St,Fresno,57401,CA,3,1,2407,2609,1989,79,Apartment,Z282442,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/63532546_zpid/,525.5197341,36,Top,slow
13,645962,9692 Maple Dr,Los Angeles,91395,CA,4,3,2746,8256,2008,11,Condo,Z855977,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/20308759_zpid/,235.2374363,17,Top,fast
14,575637,905 Oak Ave,Sacramento,28568,NY,1,4,3387,1740,1966,97,Condo,Z166677,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/36948512_zpid/,169.9548273,59,Top,slow
15,507793,8699 Elm St,Fresno,29191,CA,5,4,3480,2022,2007,66,Multi-Family,Z751795,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/44716305_zpid/,145.9175287,18,Top,slow
16,1171629,2475 Elm St,Sacramento,63853,TX,2,4,2351,2275,2007,46,Condo,Z325594,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/51686892_zpid/,498.3534666,18,Top,fast
